match_link,date,time,stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592073,"qua, 16/03/22",16:30,AMEX Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592257,"dom, 01/05/22",10:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592118,"qui, 12/05/22",15:45,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592240,"dom, 15/05/22",08:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3592260,"dom, 22/05/22",12:00,Carrow Road
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837829,"dom, 14/08/22",12:30,Stamford Bridge
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837842,"sáb, 20/08/22",08:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837851,"dom, 28/08/22",12:30,The City Ground
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3837980,"sáb, 03/09/22",11:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838006,"sáb, 17/09/22",13:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838009,"sáb, 01/10/22",08:30,Emirates Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838020,"sáb, 08/10/22",13:30,AMEX Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3911797,"qua, 12/10/22",16:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838036,"sáb, 15/10/22",13:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838195,"dom, 23/10/22",12:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838233,"dom, 06/11/22",13:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838243,"sáb, 12/11/22",12:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838254,"seg, 26/12/22",09:30,Gtech Community Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838276,"qua, 04/01/23",17:00,Selhurst Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3974023,"sáb, 07/01/23",09:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838789,"seg, 23/01/23",17:00,Craven Cottage
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838778,"dom, 05/02/23",13:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838749,"dom, 26/02/23",10:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838727,"sáb, 11/03/23",12:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838719,"sáb, 18/03/23",12:00,St Mary's Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838705,"seg, 03/04/23",16:00,Goodison Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838692,"sáb, 08/04/23",11:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838665,"dom, 23/04/23",10:00,St James' Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838641,"dom, 30/04/23",12:30,Anfield
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838631,"sáb, 06/05/23",11:00,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838614,"sáb, 13/05/23",11:00,Villa Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838610,"sáb, 20/05/23",08:30,Tottenham Hotspur Stadium
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/3838599,"dom, 28/05/23",12:30,Elland Road
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095967,"sex, 18/08/23",15:30,Weserstadion
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095976,"dom, 27/08/23",12:30,Allianz Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4095994,"sex, 15/09/23",15:30,Allianz Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4171216,"qua, 20/09/23",16:00,Allianz Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096003,"sáb, 23/09/23",10:30,Allianz Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096012,"sáb, 30/09/23",13:30,Red Bull Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096034,"sáb, 21/10/23",13:30,Mewa Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4171225,"ter, 24/10/23",13:45,Ali Sami Yen Spor Kompleksi RAMS Park
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096039,"sáb, 28/10/23",10:30,Allianz Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096048,"sáb, 04/11/23",14:30,SIGNAL IDUNA PARK
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4171218,"qua, 08/11/23",17:00,Allianz Arena
https://www.transfermarkt.com.br/spielbericht/index/spielbericht/4096057,"sáb, 11/11/23",11:30,Allianz Arena
